Día, CEO3 , CEPM10,
1,65,61,
2,53,47,
3,33,34,
4,44,24,
5,51,33,
6,68,46,
7,54,57,
8,15,54,
9,7,21,
10,56,33,
11,45,44,
12,55,66,
13,55,58,
14,45,57,
15,29,38,
16,49,19,
17,47,25,
18,58,21,
19,77,33,
20,52,33,
21,61,32,
22,94,50,
23,80,54,
24,71,48,
25,87,56,
26,126,57,
27,58,59,
28,58,49,
29,37,38,
30,20,34,
31,27,30,
32,22,28,
33,23,36,
34,21,33,
35,16,14,
36,97,28,
37,86,49,
38,65,43,
39,45,38,
40,109,45,
41,59,49,
42,30,37,
43,86,28,
44,56,44,
45,43,33,
46,56,37,
47,60,39,
48,23,27,
49,24,18,
50,60,22,
51,57,25,
52,70,22,
53,70,33,
54,39,38,
55,63,43,
56,65,48,
57,82,43,
58,124,50,
59,61,48,
60,52,34,
61,75,40,
62,97,53,
63,91,48,
64,140,44,
65,57,63,
66,113,58,
67,43,50,
68,59,42,
69,63,44,
70,63,46,
71,82,39,
72,92,48,
73,70,47,
74,48,40,
75,35,42,
76,93,52,
77,95,50,
78,35,43,
79,53,32,
80,53,38,
81,115,41,
82,102,43,
83,69,39,
84,85,41,
85,89,57,
86,77,48,
87,117,59,
88,100,62,
89,72,55,
90,104,38,
91,69,39,
92,78,38,
93,107,40,
94,99,42,
95,107,49,
96,142,57,
97,129,53,
98,121,58,
99,54,52,
100,94,44,
101,133,39,
102,67,38,
103,52,30,
104,57,34,
105,56,36,
106,68,43,
107,68,41,
108,129,30,
109,105,41,
110,132,45,
111,100,54,
112,85,56,
113,95,57,
114,68,45,
115,77,43,
116,81,34,
117,87,49,
118,79,52,
119,67,48,
120,95,51,
121,86,52,
122,88,47,
123,151,62,
124,136,63,
125,94,65,
126,87,56,
127,94,60,
128,118,73,
129,116,76,
130,108,66,
131,97,64,
132,130,57,
133,107,54,
134,102,42,
135,85,40,
136,79,47,
137,93,42,
138,91,43,
139,117,43,
140,118,57,
141,97,58,
142,115,47,
143,121,48,
144,138,46,
145,110,50,
146,102,63,
147,92,60,
148,95,47,
149,105,45,
150,116,35,
151,130,48,
152,155,63,
153,139,63,
154,127,57,
155,145,54,
156,83,59,
157,108,53,
158,112,38,
159,108,38,
160,105,44,
161,118,38,
162,97,43,
163,75,42,
164,86,28,
165,85,24,
166,85,29,
167,47,28,
168,32,33,
169,49,25,
170,79,37,
171,85,33,
172,73,33,
173,90,33,
174,108,28,
175,69,31,
176,86,29,
177,86,32,
178,118,28,
179,84,37,
180,55,38,
181,80,23,
182,35,25,
183,55,20,
184,51,26,
185,68,24,
186,73,22,
187,95,25,
188,114,31,
189,56,26,
190,35,25,
191,30,19,
192,75,20,
193,105,31,
194,57,39,
195,66,50,
196,75,48,
197,69,43,
198,55,50,
199,63,43,
200,44,21,
201,36,22,
202,42,25,
203,18,21,
204,16,21,
205,7,22,
206,37,17,
207,53,33,
208,75,30,
209,43,23,
210,74,25,
211,76,33,
212,99,40,
213,100,39,
214,85,33,
215,67,26,
216,57,27,
217,77,26,
218,48,26,
219,121,28,
220,85,25,
221,115,28,
222,101,32,
223,68,28,
224,81,28,
225,22,28,
226,41,13,
227,78,21,
228,50,21,
229,45,21,
230,86,21,
231,87,32,
232,93,31,
233,77,24,
234,39,22,
235,44,27,
236,88,32,
237,42,37,
238,51,36,
239,57,34,
240,80,33,
241,94,29,
242,47,33,
243,21,25,
244,76,21,
245,65,32,
246,34,29,
247,33,22,
248,28,18,
249,45,18,
250,59,23,
251,52,33,
252,93,37,
253,101,37,
254,100,38,
255,52,36,
256,36,21,
257,33,23,
258,55,23,
259,55,41,
260,29,28,
261,41,24,
262,25,27,
263,38,17,
264,95,38,
265,85,39,
266,84,39,
267,70,35,
268,37,31,
269,55,20,
270,18,25,
271,50,28,
272,78,30,
273,61,48,
274,56,48,
275,52,38,
276,52,33,
277,65,28,
278,77,28,
279,51,31,
280,60,33,
281,84,42,
282,126,60,
283,117,60,
284,111,60,
285,57,62,
286,42,56,
287,38,53,
288,100,58,
289,112,64,
290,101,63,
291,108,78,
292,122,82,
293,75,83,
294,73,71,
295,108,83,
296,135,83,
297,61,75,
298,92,52,
299,121,95,
300,114,95,
301,55,103,
302,23,96,
303,85,50,
304,85,46,
305,98,46,
306,63,48,
307,42,59,
308,61,58,
309,59,58,
310,54,62,
311,59,44,
312,75,43,
313,92,88,
314,94,94,
315,98,106,
316,93,104,
317,101,97,
318,135,93,
319,62,74,
320,101,78,
321,97,88,
322,36,88,
323,96,49,
324,84,61,
325,87,65,
326,86,75,
327,70,86,
328,85,86,
329,94,93,
330,96,91,
331,108,79,
332,89,81,
333,114,83,
334,105,94,
335,78,90,
336,68,94,
337,60,95,
338,69,97,
339,55,83,
340,48,52,
341,65,79,
342,51,105,
343,51,85,
344,69,97,
345,69,105,
346,83,108,
347,52,88,
348,57,86,
349,75,101,
350,96,111,
351,93,113,
352,104,114,
353,117,108,
354,69,100,
355,48,101,
356,85,73,
357,84,66,
358,87,83,
359,82,114,
360,71,105,
361,97,76,
362,59,82,
363,40,82,
364,45,67,
365,32,53,
