 Día      , CEO3 , CEPM10,
1,52,78,
2,79,75,
3,59,53,
4,78,79,
5,84,87,
6,96,84,
7,75,81,
8,95,98,
9,58,82,
10,49,73,
11,62,112,
12,66,107,
13,53,66,
14,69,73,
15,67,82,
16,56,66,
17,70,62,
18,92,82,
19,47,97,
20,40,76,
21,63,79,
22,77,78,
23,49,68,
24,48,49,
25,71,58,
26,51,77,
27,75,77,
28,80,93,
29,50,86,
30,53,63,
31,38,49,
32,53,50,
33,50,74,
34,34,69,
35,31,55,
36,30,36,
37,32,30,
38,92,53,
39,70,75,
40,88,70,
41,56,98,
42,106,86,
43,70,81,
44,78,78,
45,63,68,
46,63,74,
47,64,78,
48,59,104,
49,69,88,
50,75,84,
51,90,77,
52,114,69,
53,99,83,
54,111,84,
55,84,78,
56,115,87,
57,95,91,
58,66,61,
59,54,72,
60,88,71,
61,80,74,
62,64,73,
63,89,88,
64,99,88,
65,82,87,
66,84,60,
67,76,63,
68,93,63,
69,52,64,
70,56,68,
71,74,78,
72,86,76,
73,85,85,
74,85,83,
75,74,63,
76,69,67,
77,62,73,
78,65,78,
79,59,71,
80,76,67,
81,114,83,
82,73,94,
83,95,79,
84,102,98,
85,144,104,
86,128,96,
87,130,81,
88,103,78,
89,94,71,
90,113,71,
91,74,67,
92,93,63,
93,84,60,
94,105,56,
95,83,61,
96,87,54,
97,105,60,
98,95,67,
99,82,65,
100,135,58,
101,80,72,
102,102,71,
103,87,77,
104,98,77,
105,96,78,
106,112,73,
107,118,42,
108,116,44,
109,88,46,
110,95,55,
111,95,52,
112,102,46,
113,106,36,
114,107,40,
115,106,48,
116,99,65,
117,135,67,
118,103,93,
119,107,97,
120,118,81,
121,115,62,
122,119,53,
123,57,54,
124,89,53,
125,68,67,
126,90,60,
127,77,70,
128,93,48,
129,115,55,
130,124,72,
131,139,68,
132,152,81,
133,134,93,
134,131,92,
135,109,90,
136,96,49,
137,84,60,
138,88,59,
139,92,55,
140,114,71,
141,116,78,
142,103,73,
143,96,70,
144,93,78,
145,108,78,
146,85,80,
147,111,78,
148,94,76,
149,111,70,
150,105,88,
151,72,86,
152,47,73,
153,74,49,
154,102,63,
155,76,78,
156,55,72,
157,83,47,
158,93,63,
159,135,80,
160,104,78,
161,86,82,
162,88,81,
163,109,68,
164,122,74,
165,132,75,
166,133,77,
167,131,79,
168,88,72,
169,77,71,
170,76,48,
171,38,43,
172,25,37,
173,19,18,
174,65,28,
175,85,47,
176,83,50,
177,76,48,
178,103,30,
179,44,28,
180,17,23,
181,8,17,
182,18,13,
183,39,25,
184,56,24,
185,66,47,
186,81,68,
187,81,59,
188,102,37,
189,102,46,
190,78,54,
191,75,54,
192,45,30,
193,95,36,
194,58,35,
195,35,28,
196,93,30,
197,32,28,
198,45,23,
199,45,27,
200,68,34,
201,36,37,
202,77,32,
203,77,32,
204,90,32,
205,70,27,
206,85,23,
207,90,26,
208,77,32,
209,97,39,
210,77,37,
211,48,31,
212,32,25,
213,27,18,
214,41,23,
215,82,34,
216,51,34,
217,91,53,
218,78,51,
219,66,43,
220,82,46,
221,109,48,
222,58,51,
223,66,33,
224,66,37,
225,83,38,
226,72,36,
227,68,29,
228,72,30,
229,65,32,
230,85,56,
231,95,58,
232,75,57,
233,64,48,
234,55,33,
235,54,24,
236,81,37,
237,74,38,
238,91,38,
239,66,40,
240,61,28,
241,57,23,
242,71,30,
243,25,30,
244,35,23,
245,106,26,
246,43,35,
247,71,32,
248,45,31,
249,49,44,
250,105,44,
251,74,52,
252,72,56,
253,76,55,
254,37,48,
255,68,32,
256,58,36,
257,70,51,
258,99,58,
259,96,57,
260,61,31,
261,51,33,
262,79,37,
263,56,38,
264,67,34,
265,71,34,
266,31,32,
267,76,33,
268,113,43,
269,78,56,
270,79,56,
271,103,63,
272,81,63,
273,53,54,
274,31,44,
275,35,32,
276,82,39,
277,85,43,
278,89,59,
279,107,58,
280,91,58,
281,98,55,
282,118,48,
283,78,33,
284,35,33,
285,64,36,
286,28,43,
287,50,43,
288,52,43,
289,60,42,
290,76,55,
291,40,63,
292,76,55,
293,91,67,
294,56,67,
295,63,63,
296,68,48,
297,50,48,
298,77,64,
299,84,89,
300,80,90,
301,55,93,
302,80,88,
303,46,63,
304,45,57,
305,106,62,
306,105,73,
307,63,65,
308,74,60,
309,99,46,
310,87,49,
311,66,50,
312,112,51,
313,73,62,
314,56,62,
315,80,52,
316,105,60,
317,130,63,
318,76,56,
319,96,49,
320,96,67,
321,56,69,
322,56,55,
323,79,51,
324,82,49,
325,84,48,
326,62,73,
327,47,68,
328,53,39,
329,83,63,
330,44,63,
331,31,61,
332,45,38,
333,52,62,
334,50,81,
335,96,100,
336,77,102,
337,129,110,
338,108,109,
339,90,98,
340,110,102,
341,101,101,
342,93,102,
343,100,90,
344,78,93,
345,74,80,
346,89,85,
347,69,76,
348,74,84,
349,93,87,
350,95,101,
351,31,97,
352,66,56,
353,74,48,
354,77,68,
355,40,69,
356,62,50,
357,69,70,
358,66,68,
359,95,95,
360,75,92,
361,69,72,
362,75,71,
363,79,77,
364,90,67,
365,57,61,
