Día     , CEO3 , CEPM10,
1,55,92,
2,17,88,
3,44,36,
4,70,58,
5,68,60,
6,60,73,
7,85,73,
8,53,70,
9,60,49,
10,56,56,
11,51,48,
12,74,70,
13,41,72,
14,64,78,
15,46,68,
16,73,50,
17,74,63,
18,61,63,
19,77,69,
20,99,83,
21,106,93,
22,108,90,
23,93,78,
24,77,81,
25,61,68,
26,77,54,
27,52,72,
28,64,66,
29,37,67,
30,35,35,
31,45,57,
32,35,53,
33,57,49,
34,80,67,
35,86,65,
36,73,54,
37,64,43,
38,30,43,
39,42,43,
40,24,33,
41,15,40,
42,28,49,
43,23,37,
44,18,21,
45,25,23,
46,33,25,
47,30,32,
48,36,33,
49,40,30,
50,50,41,
51,64,39,
52,60,47,
53,102,63,
54,69,63,
55,78,48,
56,88,63,
57,97,73,
58,64,53,
59,102,58,
60,106,65,
61,106,73,
62,150,82,
63,145,79,
64,97,72,
65,72,57,
66,103,57,
67,99,62,
68,111,66,
69,86,79,
70,102,79,
71,106,59,
72,74,49,
73,64,43,
74,74,53,
75,87,58,
76,96,68,
77,116,68,
78,96,60,
79,80,52,
80,57,48,
81,62,43,
82,64,46,
83,93,70,
84,101,81,
85,83,73,
86,88,50,
87,77,56,
88,100,51,
89,67,58,
90,80,69,
91,63,70,
92,45,55,
93,35,49,
94,67,47,
95,77,48,
96,69,54,
97,41,48,
98,65,37,
99,82,61,
100,79,59,
101,70,59,
102,70,64,
103,96,53,
104,96,45,
105,94,48,
106,94,52,
107,111,54,
108,67,64,
109,103,50,
110,85,56,
111,111,62,
112,99,63,
113,63,49,
114,68,42,
115,66,53,
116,61,52,
117,74,51,
118,102,64,
119,120,83,
120,114,88,
121,115,86,
122,135,82,
123,115,62,
124,98,73,
125,92,73,
126,92,73,
127,84,58,
128,106,59,
129,112,65,
130,92,74,
131,75,73,
132,95,58,
133,88,68,
134,45,64,
135,78,34,
136,82,47,
137,98,50,
138,93,53,
139,83,56,
140,99,52,
141,79,53,
142,65,48,
143,70,41,
144,76,46,
145,99,64,
146,139,71,
147,138,72,
148,91,71,
149,130,58,
150,91,63,
151,84,60,
152,77,66,
153,91,67,
154,101,59,
155,88,52,
156,116,43,
157,107,58,
158,92,53,
159,116,52,
160,106,49,
161,112,53,
162,77,52,
163,100,48,
164,76,50,
165,82,40,
166,84,47,
167,59,47,
168,23,44,
169,32,14,
170,86,33,
171,39,37,
172,29,41,
173,25,27,
174,76,37,
175,112,37,
176,89,37,
177,66,31,
178,76,28,
179,85,33,
180,66,40,
181,114,34,
182,70,34,
183,56,34,
184,82,38,
185,88,38,
186,77,46,
187,63,41,
188,66,37,
189,85,36,
190,69,37,
191,43,28,
192,51,25,
193,82,28,
194,37,33,
195,49,33,
196,38,33,
197,52,31,
198,69,26,
199,73,35,
200,45,38,
201,85,49,
202,62,47,
203,115,36,
204,70,35,
205,66,32,
206,88,36,
207,81,53,
208,91,53,
209,91,48,
210,66,47,
211,65,28,
212,108,37,
213,78,58,
214,99,60,
215,91,44,
216,70,46,
217,92,59,
218,73,57,
219,72,34,
220,80,37,
221,64,39,
222,24,35,
223,11,28,
224,35,27,
225,41,28,
226,42,23,
227,36,26,
228,85,43,
229,80,53,
230,25,49,
231,33,30,
232,33,22,
233,50,32,
234,59,35,
235,66,43,
236,58,45,
237,57,43,
238,87,47,
239,79,38,
240,83,31,
241,70,33,
242,75,42,
243,57,43,
244,75,41,
245,35,40,
246,90,28,
247,76,35,
248,76,47,
249,98,46,
250,77,43,
251,90,46,
252,99,53,
253,56,49,
254,59,25,
255,62,25,
256,45,25,
257,94,48,
258,78,51,
259,61,41,
260,114,33,
261,85,50,
262,64,51,
263,51,31,
264,71,27,
265,91,48,
266,94,50,
267,45,34,
268,35,22,
269,65,22,
270,57,35,
271,82,34,
272,80,36,
273,113,48,
274,51,51,
275,65,49,
276,56,44,
277,69,38,
278,76,49,
279,57,49,
280,82,43,
281,75,42,
282,50,35,
283,61,33,
284,64,39,
285,67,38,
286,38,29,
287,84,33,
288,79,37,
289,81,39,
290,104,53,
291,79,62,
292,64,65,
293,56,63,
294,64,59,
295,77,47,
296,96,48,
297,86,65,
298,78,63,
299,70,51,
300,69,59,
301,72,58,
302,72,50,
303,56,47,
304,47,46,
305,57,54,
306,62,51,
307,54,54,
308,62,45,
309,51,37,
310,41,44,
311,29,39,
312,60,38,
313,63,48,
314,88,63,
315,134,69,
316,156,73,
317,64,75,
318,34,61,
319,38,38,
320,56,38,
321,56,55,
322,47,58,
323,56,40,
324,42,36,
325,42,53,
326,56,55,
327,54,50,
328,57,60,
329,52,57,
330,75,47,
331,63,59,
332,76,74,
333,73,73,
334,65,55,
335,66,65,
336,74,63,
337,67,57,
338,57,54,
339,47,58,
340,49,56,
341,77,63,
342,95,88,
343,99,83,
344,80,68,
345,88,73,
346,52,73,
347,55,62,
348,45,58,
349,96,82,
350,108,86,
351,118,82,
352,83,68,
353,92,91,
354,70,85,
355,50,104,
356,59,103,
357,79,76,
358,103,96,
359,111,94,
360,99,91,
361,53,83,
362,63,51,
363,52,52,
364,95,91,
365,50,87,
366,35,38,
