Día     , CEO3 , CEPM10
1,55,75
2,21,71
3,40,47
4,69,73
5,81,71
6,75,61
7,68,81
8,25,78
9,26,32
10,72,48
11,96,59
12,99,64
13,88,60
14,58,43
15,103,53
16,70,59
17,62,58
18,66,63
19,93,69
20,61,65
21,29,52
22,33,54
23,51,58
24,57,50
25,85,58
26,76,65
27,95,65
28,73,64
29,94,60
30,92,64
31,105,87
32,110,91
33,69,88
34,72,83
35,85,56
36,85,53
37,79,68
38,89,68
39,93,73
40,58,77
41,60,58
42,82,51
43,76,58
44,67,63
45,65,64
46,108,58
47,95,67
48,84,62
49,46,63
50,104,67
51,55,68
52,61,54
53,69,51
54,83,62
55,56,56
56,43,56
57,38,58
58,87,52
59,73,73
60,62,98
61,54,99
62,72,45
63,85,74
64,85,121
65,86,121
66,80,85
67,84,73
68,77,78
69,76,72
70,56,49
71,51,53
72,57,67
73,63,66
74,18,62
75,21,49
76,55,28
77,101,31
78,107,54
79,111,89
80,71,92
81,32,64
82,35,61
83,103,48
84,68,88
85,90,84
86,76,77
87,111,60
88,115,60
89,97,54
90,78,53
91,111,53
92,68,56
93,63,56
94,94,69
95,110,75
96,119,78
97,99,63
98,73,52
99,85,56
100,94,66
101,80,64
102,67,63
103,59,58
104,88,57
105,92,69
106,103,88
107,134,95
108,138,95
109,145,98
110,95,101
111,108,85
112,149,81
113,132,82
114,104,72
115,103,66
116,124,55
117,159,74
118,100,69
119,110,71
120,88,70
121,123,56
122,151,90
123,116,88
124,107,81
125,125,87
126,144,78
127,132,92
128,112,93
129,158,91
130,156,90
131,136,91
132,115,91
133,77,66
134,126,33
135,126,60
136,136,61
137,108,53
138,135,46
139,120,44
140,115,45
141,133,47
142,126,63
143,102,58
144,95,52
145,106,53
146,90,45
147,84,33
148,102,43
149,96,49
150,79,47
151,47,51
152,72,45
153,51,43
154,54,30
155,126,37
156,91,45
157,118,54
158,89,54
159,126,53
160,57,49
161,85,48
162,88,48
163,86,52
164,109,44
165,87,55
166,116,53
167,89,50
168,85,42
169,69,47
170,67,45
171,21,31
172,31,21
173,34,29
174,91,28
175,80,33
176,56,38
177,76,38
178,83,43
179,69,40
180,71,39
181,89,36
182,80,34
183,70,42
184,73,38
185,85,51
186,36,53
187,24,27
188,29,11
189,37,29
190,86,39
191,66,42
192,84,35
193,66,28
194,92,35
195,96,35
196,85,33
197,76,35
198,69,35
199,109,38
200,58,38
201,90,33
202,90,27
203,76,36
204,76,40
205,63,43
206,75,40
207,91,38
208,78,47
209,94,43
210,82,42
211,76,48
212,74,47
213,77,42
214,69,34
215,80,32
216,90,33
217,82,37
218,130,53
219,101,57
220,91,55
221,101,56
222,66,48
223,61,44
224,68,33
225,38,35
226,67,25
227,75,25
228,66,26
229,50,31
230,78,28
231,76,26
232,65,27
233,44,29
234,86,33
235,73,34
236,57,24
237,32,22
238,23,21
239,25,22
240,75,28
241,41,32
242,97,35
243,83,39
244,63,34
245,66,26
246,35,28
247,58,28
248,63,23
249,77,28
250,20,31
251,60,37
252,63,30
253,98,36
254,30,35
255,30,21
256,22,17
257,35,23
258,12,23
259,26,18
260,109,33
261,42,35
262,77,31
263,84,33
264,99,35
265,51,30
266,107,35
267,66,42
268,59,38
269,22,35
270,29,20
271,106,39
272,74,38
273,95,43
274,81,45
275,82,56
276,104,56
277,113,53
278,126,58
279,99,54
280,23,38
281,66,29
282,73,47
283,102,43
284,76,43
285,85,42
286,59,42
287,66,38
288,77,52
289,124,60
290,110,61
291,106,68
292,74,66
293,68,41
294,38,28
295,22,34
296,15,31
297,38,48
298,53,51
299,35,45
300,66,27
301,76,32
302,75,45
303,36,44
304,74,31
305,76,51
306,26,49
307,80,32
308,53,42
309,53,53
310,56,48
311,33,48
312,64,35
313,66,53
314,42,49
315,56,33
316,30,26
317,35,22
318,53,38
319,76,63
320,59,61
321,101,43
322,81,43
323,53,43
324,60,40
325,72,44
326,66,58
327,49,57
328,35,68
329,64,80
330,49,57
331,59,58
332,91,73
333,70,73
334,78,75
335,90,87
336,67,81
337,75,92
338,99,85
339,87,72
340,82,70
341,55,76
342,73,61
343,89,52
344,62,58
345,72,62
346,46,60
347,69,42
348,90,62
349,85,59
350,65,67
351,62,59
352,76,58
353,82,63
354,78,70
355,41,63
356,69,39
357,62,56
358,64,60
359,56,102
360,56,79
361,15,44
362,31,50
363,36,33
364,49,36
365,84,49
