 Día      , CEO3 , CEPM10 
1,70,76
2,43,75
3,58,45
4,76,55
5,95,56
6,58,53
7,56,59
8,80,87
9,55,76
10,35,56
11,55,53
12,61,51
13,65,49
14,66,48
15,39,45
16,49,60
17,57,63
18,92,55
19,95,61
20,75,58
21,43,60
22,92,63
23,87,85
24,75,82
25,89,66
26,95,68
27,104,68
28,57,68
29,56,55
30,88,53
31,85,77
32,86,74
33,116,68
34,82,61
35,72,54
36,106,68
37,95,67
38,91,73
39,95,73
40,60,58
41,78,52
42,86,52
43,88,55
44,105,58
45,108,73
46,58,71
47,76,48
48,81,58
49,92,72
50,113,79
51,137,80
52,121,83
53,110,82
54,110,65
55,113,69
56,112,76
57,109,80
58,88,75
59,113,68
60,109,63
61,90,60
62,93,65
63,63,66
64,60,45
65,97,53
66,60,58
67,55,50
68,32,38
69,34,28
70,42,33
71,84,62
72,78,61
73,101,51
74,113,58
75,40,54
76,58,39
77,41,48
78,106,46
79,146,67
80,122,63
81,112,66
82,94,65
83,81,53
84,85,67
85,61,63
86,67,48
87,72,53
88,88,59
89,79,58
90,107,58
91,113,59
92,142,58
93,101,63
94,120,58
95,76,61
96,73,53
97,69,49
98,73,63
99,82,63
100,83,68
101,97,72
102,120,69
103,127,67
104,126,69
105,106,64
106,69,53
107,81,50
108,85,46
109,96,32
110,76,32
111,66,34
112,89,35
113,78,40
114,104,43
115,78,44
116,75,58
117,59,63
118,126,48
119,86,49
120,113,67
121,67,67
122,66,55
123,89,58
124,101,46
125,104,41
126,108,55
127,72,61
128,24,65
129,116,48
130,116,52
131,107,49
132,106,43
133,101,43
134,59,40
135,95,33
136,77,59
137,79,57
138,82,44
139,70,42
140,85,51
141,107,60
142,110,63
143,79,58
144,98,49
145,73,46
146,79,44
147,109,46
148,95,41
149,107,33
150,82,48
151,58,47
152,60,30
153,56,30
154,58,30
155,40,26
156,31,23
157,35,24
158,39,23
159,75,33
160,62,32
161,85,33
162,96,37
163,124,43
164,94,43
165,88,48
166,79,47
167,83,43
168,86,36
169,96,28
170,67,38
171,67,38
172,86,41
173,108,37
174,29,51
175,77,50
176,29,44
177,49,24
178,36,30
179,41,35
180,83,28
181,21,28
182,19,23
183,77,34
184,45,33
185,44,31
186,45,23
187,76,24
188,47,28
189,85,33
190,83,43
191,73,44
192,87,45
193,68,44
194,76,30
195,81,34
196,82,44
197,82,45
198,78,26
199,58,28
200,78,27
201,95,28
202,67,28
203,66,31
204,61,33
205,70,29
206,92,38
207,95,41
208,75,39
209,78,37
210,96,33
211,81,33
212,75,36
213,75,41
214,73,40
215,61,30
216,70,30
217,90,35
218,74,36
219,50,32
220,38,26
221,102,28
222,60,33
223,57,28
224,61,22
225,59,24
226,74,28
227,76,33
228,58,33
229,71,38
230,46,41
231,72,33
232,83,44
233,59,49
234,58,53
235,80,53
236,93,33
237,80,41
238,73,40
239,77,37
240,83,37
241,88,43
242,74,42
243,102,31
244,79,28
245,114,29
246,46,33
247,70,30
248,75,42
249,76,43
250,43,32
251,33,18
252,67,25
253,85,34
254,73,35
255,79,32
256,75,38
257,41,46
258,42,31
259,33,35
260,30,27
261,47,22
262,103,39
263,103,42
264,97,38
265,43,27
266,44,23
267,44,20
268,85,29
269,64,29
270,57,23
271,48,23
272,36,14
273,58,18
274,45,28
275,38,25
276,65,26
277,62,24
278,64,26
279,61,26
280,65,28
281,67,41
282,76,39
283,77,42
284,105,53
285,84,51
286,104,53
287,43,51
288,75,42
289,69,55
290,62,53
291,22,48
292,27,32
293,19,18
294,26,23
295,44,23
296,45,20
297,45,22
298,65,25
299,84,36
300,107,54
301,80,103
302,82,101
303,59,102
304,40,99
305,33,52
306,84,26
307,92,61
308,49,101
309,39,74
310,71,50
311,109,74
312,37,76
313,44,46
314,44,44
315,65,49
316,32,46
317,53,46
318,71,46
319,67,100
320,101,97
321,59,71
322,39,60
323,103,102
324,36,103
325,29,91
326,44,102
327,73,76
328,39,65
329,49,91
330,46,91
331,39,81
332,45,102
333,107,106
334,120,109
335,61,105
336,57,99
337,63,90
338,106,108
339,115,118
340,88,113
341,59,109
342,46,68
343,42,68
344,63,101
345,39,105
346,39,106
347,49,103
348,46,102
349,73,87
350,67,101
351,71,100
352,82,107
353,63,106
354,48,103
355,41,102
356,22,77
357,13,73
358,9,44
359,23,33
360,17,28
361,41,61
362,92,63
363,76,84
364,122,105
365,107,120
