Día, CEO3 , CEPM10 
1,49,128
2,28,111
3,27,51
4,39,65
5,19,63
6,30,81
7,33,70
8,28,44
9,43,97
10,53,84
11,103,76
12,118,99
13,122,106
14,111,106
15,112,101
16,100,102
17,107,103
18,67,103
19,57,88
20,116,106
21,55,106
22,40,96
23,57,77
24,38,102
25,50,103
26,51,87
27,63,99
28,36,91
29,32,80
30,46,87
31,49,91
32,36,77
33,42,65
34,22,63
35,49,64
36,59,81
37,73,83
38,100,87
39,115,102
40,39,103
41,90,86
42,104,102
43,41,97
44,36,99
45,29,101
46,67,108
47,42,91
48,40,70
49,105,80
50,120,83
51,117,94
52,137,88
53,106,83
54,59,77
55,113,102
56,49,103
57,61,90
58,39,78
59,42,78
60,105,73
61,121,91
62,147,101
63,135,103
64,57,101
65,102,102
66,82,102
67,82,91
68,84,60
69,34,64
70,36,57
71,26,36
72,24,26
73,25,33
74,21,39
75,31,49
76,44,49
77,78,55
78,69,63
79,67,87
80,45,86
81,109,76
82,65,61
83,48,57
84,46,51
85,40,44
86,44,57
87,53,55
88,55,36
89,76,48
90,107,65
91,124,76
92,92,80
93,108,74
94,55,54
95,122,48
96,104,68
97,122,74
98,136,81
99,149,97
100,125,97
101,110,97
102,109,91
103,111,78
104,43,88
105,50,91
106,113,87
107,124,97
108,103,97
109,86,76
110,117,61
111,80,91
112,125,93
113,86,83
114,55,86
115,53,71
116,59,71
117,115,68
118,120,80
119,22,90
120,61,80
121,82,63
122,84,64
123,134,70
124,117,73
125,156,70
126,106,77
127,103,70
128,49,45
129,125,50
130,142,74
131,107,67
132,53,52
133,104,60
134,113,58
135,100,63
136,130,73
137,114,54
138,80,52
139,132,78
140,115,80
141,108,77
142,101,63
143,121,60
144,88,68
145,125,52
146,50,52
147,113,78
148,69,77
149,127,76
150,59,83
151,44,58
152,46,49
153,105,61
154,101,68
155,104,84
156,38,78
157,55,80
158,82,65
159,63,54
160,122,63
161,143,88
162,124,93
163,108,87
164,109,76
165,31,58
166,27,23
167,67,41
168,115,74
169,26,73
170,41,65
171,76,40
172,88,51
173,78,64
174,63,70
175,44,102
176,57,90
177,73,63
178,118,99
179,71,99
180,90,70
181,82,77
182,53,46
183,47,58
184,96,80
185,55,81
186,104,58
187,119,60
188,86,83
189,88,80
190,88,70
191,51,61
192,47,73
193,44,67
194,101,68
195,116,84
196,122,80
197,106,73
198,61,68
199,73,73
200,57,61
201,102,50
202,90,64
203,96,60
204,101,74
205,110,65
206,88,60
207,98,45
208,86,46
209,96,54
210,94,77
211,55,73
212,63,83
213,101,80
214,113,63
215,96,73
216,103,77
217,73,76
218,104,58
219,110,48
220,98,57
221,120,51
222,46,52
223,43,51
224,30,44
225,39,39
226,103,52
227,65,45
228,113,48
229,82,49
230,57,54
231,69,54
232,139,88
233,98,83
234,92,64
235,63,58
236,101,51
237,31,52
238,31,34
239,59,38
240,43,40
241,61,40
242,100,35
243,67,46
244,105,73
245,136,71
246,120,83
247,115,80
248,106,71
249,104,64
250,111,50
251,129,76
252,112,81
253,112,68
254,45,61
255,65,51
256,49,54
257,53,61
258,126,68
259,38,71
260,105,51
261,136,73
262,104,74
263,92,45
264,67,46
265,84,50
266,67,64
267,46,64
268,36,61
269,19,49
270,100,52
271,31,39
272,41,49
273,32,68
274,38,64
275,55,52
276,105,70
277,142,81
278,102,86
279,86,86
280,110,83
281,80,101
282,101,101
283,49,97
284,109,57
285,38,67
286,43,65
287,36,68
288,50,49
289,46,43
290,19,39
291,26,31
292,37,36
293,53,63
294,44,78
295,44,81
296,22,46
297,27,26
298,31,49
299,30,106
300,113,107
301,19,91
302,115,84
303,21,67
304,18,25
305,112,46
306,29,64
307,49,70
308,112,80
309,42,84
310,78,102
311,73,102
312,19,61
313,51,48
314,46,99
315,107,99
316,47,91
317,27,77
318,20,40
319,38,41
320,84,65
321,50,78
322,98,97
323,35,108
324,114,108
325,46,100
326,32,81
327,46,111
328,100,112
329,104,100
330,126,88
331,38,101
332,88,102
333,101,97
334,117,103
335,120,108
336,131,113
337,32,110
338,57,88
339,51,103
340,50,104
341,55,100
342,94,101
343,57,105
344,105,109
345,103,114
346,35,110
347,22,76
348,55,68
349,48,70
350,59,70
351,78,102
352,47,110
353,121,110
354,134,111
355,104,107
356,59,104
357,22,103
358,100,110
359,115,127
360,49,124
361,38,88
362,53,52
363,41,84
364,96,91
365,104,107
366,129,124
